StationID,model_slope,model_MAD,model_pval,model_intcpt,variable
4AROA158.22,6.2960569169092235e-6,0.0014521188893587016,0.9224009739648357,0.06816482984794389,TMax
4AROA163.76,0.0013297277854420332,0.001194896088145998,0.011156558990478514,-2.601932323716163,TMax
4AROA167.34,6.732132554091195e-5,0.0018303750960518197,0.7701112674802187,-0.07101127629976152,TMax
4AROA175.63,4.127891704825221e-4,0.0015098143725079396,0.9239659309387206,-0.7458620545913917,TMax
4AROA180.21,8.228541103399845e-5,0.0013910783415879851,0.8455442495661196,-0.07326827641365577,TMax
4AROA183.64,-4.4793199032178133e-4,0.0015947990913649402,0.2756266593933105,0.9811806141560429,TMax
4AROA192.55,-0.013427760907540942,0.005693353076244706,0.09751253817810959,26.930823464921815,TMax
4AROA192.94,-6.732871924326176e-4,0.00173571119908505,0.1193418502807617,1.4312532792320607,TMax
4AROA196.05,5.892535836552093e-4,0.0032533625441433724,0.8595733642578125,-1.083983335922159,TMax
4ASRE046.90,-9.257380621250917e-4,0.0011116994913735693,0.1259438386422662,1.9330027532346703,TMax
4ASRE048.98,-6.301744110504488e-4,5.715456837974652e-4,0.169646282762861,1.3407003518986433,TMax
4ASRE052.31,4.771324409758796e-4,0.0016622988896654288,0.3586391704612435,-0.8879403712065895,TMax
4ASRE056.06,-1.2448036345646073e-4,0.0014764833037829161,0.906293509044724,0.3232541041339359,TMax
4AWTH000.40,-2.5658034266419865e-5,7.680873611835726e-4,0.8710389471064994,0.11744650017212543,TMax
5ASRN000.66,-0.0037983976783290993,0.0024387536792247135,0.14099408120355642,7.691823656002803,TMax
8-NAR047.69,0.0013617750126947417,0.0018455133460616663,0.018066406250000007,-2.6394535355595092,TMax
8-NAR054.17,3.82070968241969e-4,0.0025740009861685725,0.8383602338389031,-0.6816378424570831,TMax
9-NEW087.14,3.248963797135078e-4,0.0015546686334189789,0.2226152420043945,-0.5779099187570529,TMax
9-NEW089.34,0.001519228456836881,0.0014919585440074962,0.002135992050170898,-2.9779063587607033,TMax
9-NEW092.66,3.2217259115784665e-4,0.0016770448054921874,0.22210741043090818,-0.592758131486862,TMax
9-NEW098.32,9.983726043204285e-5,0.0018598297684912304,0.5589376363253675,-0.13116638771884168,TMax
9-PKC000.00,4.0148423084708507e-4,0.001154081852265202,0.21568012237548825,-0.7698295616779891,TMax
9-PKC004.16,-5.503340442603519e-4,0.001873416338935451,0.8381938934326171,1.162094186079597,TMax
2-JKS044.60,0.0010641971118773288,7.618521156890018e-4,0.09155570817720991,-2.0885412152069858,TMean
