FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval
4ACOA000.60,6,25.99735294117647,21.63,29.3,34,June,4ACOA000.60_6,-0.006900000000000037,0.05333653500000013,0.9596304784063251
4ACOA000.60,7,27.9712,25.3,30.63,25,July,4ACOA000.60_7,-0.017194444444444637,0.06758184999999993,0.9789152741432189
4ACOA000.60,8,27.260689655172413,25,29.21,29,August,4ACOA000.60_8,-0.007506060606060542,0.046704266704545305,0.685573924332857
4ACOA000.60,9,24.985,21.68,29.09,20,September,4ACOA000.60_9,-0.0026911764705881934,0.06984693333333342,0.7509739924978779
4ACOA000.60,10,19.918333333333333,16.7,24.5,30,October,4ACOA000.60_10,0.07333031674208151,0.03345225368876657,2.473836693323834e-6
4AGIL002.39,5,22.364166666666666,17,26.98,24,May,4AGIL002.39_5,-0.026333333333333382,0.0847305900000004,0.637317542719823
4AGIL002.39,6,26.7775,22.8,30.2,36,June,4AGIL002.39_6,-0.018051759834368544,0.057167549183303086,0.142646368687174
4AGIL002.39,7,28.935185185185183,26.1,32.01,27,July,4AGIL002.39_7,-0.026916666666666346,0.06283399999999979,0.38649296760559076
4AGIL002.39,8,27.978181818181817,25.59,30.6,33,August,4AGIL002.39_8,-0.0416116071428571,0.06992845144230739,0.01781605486758058
4AGIL002.39,9,25.493333333333332,21.6,30.08,21,September,4AGIL002.39_9,0.007033333333333461,0.05520627108359144,0.25724792480468744
4AGIL002.39,10,20.08451612903226,16.9,25.3,31,October,4AGIL002.39_10,0.057395833333333285,0.04001969825000005,3.177858889102932e-5
4AROA018.36,5,22.258666666666667,20,26.57,15,May,4AROA018.36_5,-0.08301446051167964,0.04197102555126616,0.005371093750000002
4AROA018.36,6,27.155625,23,31,16,June,4AROA018.36_6,-0.16914054054054056,0.1053805533445946,0.006615216752983401
4AROA018.36,7,29.185,26,31.5,22,July,4AROA018.36_7,-0.06201874999999999,0.04954141883449891,0.0025285619499741748
4AROA018.36,8,28.778,26,31,20,August,4AROA018.36_8,-0.034116537717601536,0.0525243280434782,0.03276824951171875
4AROA018.36,9,27.241666666666667,23.99,31.04,12,September,4AROA018.36_9,-0.05764244186046513,0.0934278681818182,0.3668011993950175
4AROA018.36,10,22.828,18.56,26,10,October,4AROA018.36_10,0.13026904761904767,0.07690353910256409,0.4145198529802937
4AROA038.49,5,21.935454545454544,17.78,28.25,22,May,4AROA038.49_5,0.017306429548563602,0.044390017424242555,0.1831300025706402
4AROA038.49,6,26.739166666666666,21.11,31.11,24,June,4AROA038.49_6,-3.137597984322535e-4,0.050299256281984124,0.501925730466406
4AROA038.49,7,29.31058823529412,24.44,32.97,34,July,4AROA038.49_7,0.04127403846153849,0.0396239105769251,0.018302126015980077
4AROA038.49,8,28.919354838709676,23.89,32.22,31,August,4AROA038.49_8,0.031900000000000144,0.029896192941176795,9.815162047743786e-4
4AROA038.49,9,26.543181818181818,23.28,30.43,22,September,4AROA038.49_9,0.01653333333333329,0.029581399999999997,0.19404293317720916
4AROA038.49,10,19.949473684210528,12.22,25.81,19,October,4AROA038.49_10,-0.01929166666666663,0.09209987230769213,0.70855712890625
4AROA140.66,5,20.14952380952381,13.9,24.19,21,May,4AROA140.66_5,0.03249999999999996,0.06695872826086961,0.0384378433227539
4AROA140.66,6,25.2885,22,28.5,20,June,4AROA140.66_6,0.084335020242915,0.038890317740086916,4.183253591240097e-4
4AROA140.66,7,27.675714285714285,25.8,30.4,21,July,4AROA140.66_7,0.04998148148148142,0.04120514013822426,8.516311645507811e-4
4AROA140.66,8,26.246666666666666,17.5,29.64,21,August,4AROA140.66_8,0.1193497615262321,0.0486833553020991,9.536743164062499e-7
4AROA140.66,9,24.721875,21,29.31,17,September,4AROA140.66_9,0.10930357142857167,0.05701936865217346,0.005659531250802598
4AROA140.66,10,20.209444444444443,16.3,25.69,19,October,4AROA140.66_10,0.025703124999999917,0.07760512454545453,0.09790224323636039
4AROA145.34,5,19.271428571428572,14.7,24.03,21,May,4AROA145.34_5,0.012945454545454413,0.05237059863636385,0.4119815826416015
4AROA145.34,6,24.0475,19.3,26.6,20,June,4AROA145.34_6,0.03705238095238098,0.0637676849999992,0.04187022080996621
4AROA145.34,7,26.698095238095238,19.9,29.3,21,July,4AROA145.34_7,0.01812423935091275,0.03065388273833727,0.007101058959960937
4AROA145.34,8,25.8445,17.9,28.79,20,August,4AROA145.34_8,0.08980124223602483,0.04594883333333332,9.5367431640625e-6
4AROA145.34,9,24.77235294117647,21,28.48,18,September,4AROA145.34_9,0.07480588235294142,0.07286615617647066,0.0020904541015625004
4AROA145.34,10,19.97833333333333,15.1,26,19,October,4AROA145.34_10,0.005027083333333234,0.07443595472727275,0.6950584569564157
4AROA158.22,5,19.9452,14,24.64,25,May,4AROA158.22_5,0.0741428571428571,0.08670915499999997,0.0055788159370422355
4AROA158.22,6,24.374864864864865,9.4,27.84,37,June,4AROA158.22_6,8.865546218487855e-4,0.08224400349264697,0.369644570440869
4AROA158.22,7,27.171304347826087,24.08,29.1,23,July,4AROA158.22_7,0.05050000000000025,0.06004529999999937,7.376670837402343e-4
4AROA158.22,8,26.913939393939394,23.76,29.8,33,August,4AROA158.22_8,0.05089999999999997,0.04768618166666648,1.6053905710578002e-5
4AROA158.22,9,24.122,20.8,27.81,25,September,4AROA158.22_9,0.038045454545454604,0.045954984090908924,0.031807839870452874
4AROA158.22,10,19.330689655172414,17.1,21.9,29,October,4AROA158.22_10,0.07467424242424234,0.02588466098484835,3.725290298461911e-9
