FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month
4ASRE056.06,10,20.72833333333333,17.8,25.06,18,October
4AWTH000.40,5,20.987916666666667,17,24.87,24,May
4AWTH000.40,6,25.5090625,21,28.37,32,June
4AWTH000.40,7,27.901304347826088,25.3,29.44,23,July
4AWTH000.40,8,27.39862068965517,24.13,29.8,29,August
4AWTH000.40,9,24.3252,21.1,29.04,25,September
4AWTH000.40,10,19.664,17.3,22.2,25,October
5ASRN000.66,5,21.92076923076923,17.78,26.22,13,May
5ASRN000.66,6,25.298000000000002,22.51,29.4,11,June
5ASRN000.66,7,27.150909090909092,23.4,31.6,12,July
5ASRN000.66,8,27.23777777777778,24.59,29.1,10,August
5ASRN000.66,9,24.73181818181818,23.03,28.43,12,September
5ASRN000.66,10,18.768,11.5,20.9,11,October
6ACNR000.00,5,20.376923076923077,11.5,25,13,May
6ACNR000.00,6,24.43,20,27,16,June
6ACNR000.00,7,27.178125,23.8,30,16,July
6ACNR000.00,8,24.96857142857143,2.77,29,14,August
6ACNR000.00,9,23.174545454545456,20,27,11,September
6ACNR000.00,10,18.826153846153847,14.44,23,13,October
6APNR008.15,5,19.885714285714286,8.2,26,14,May
6APNR008.15,6,24.293333333333333,19.7,27.22,18,June
6APNR008.15,7,27.351176470588236,25.56,31,17,July
6APNR008.15,8,26.438,22.4,31,15,August
6APNR008.15,9,22.792727272727273,19,26.9,11,September
6APNR008.15,10,18.41076923076923,14.44,22,13,October
8-NAR047.69,5,21.425625,17.96,27.9,16,May
8-NAR047.69,6,26.965,24.38,30.5,18,June
8-NAR047.69,7,30.23888888888889,28.1,31.3,18,July
8-NAR047.69,8,29.549,28.05,31.35,20,August
8-NAR047.69,9,27.24277777777778,24.1,32.37,18,September
8-NAR047.69,10,20.796666666666667,17.2,25.94,21,October
8-NAR054.17,5,20.856666666666666,17.56,24.95,12,May
8-NAR054.17,6,27.513529411764704,24.71,30.8,17,June
8-NAR054.17,7,30.4975,28.3,31.84,16,July
8-NAR054.17,8,29.556842105263158,27.76,31.2,19,August
8-NAR054.17,9,26.99125,24.5,31.91,16,September
8-NAR054.17,10,19.925882352941176,15.9,25.06,17,October
9-NEW087.14,5,20.763125,13.7,25.9,32,May
9-NEW087.14,6,24.191794871794873,6,28.8,39,June
9-NEW087.14,7,27.07611111111111,23.33,29.4,36,July
9-NEW087.14,8,26.470714285714287,23.8,29.61,42,August
9-NEW087.14,9,23.631724137931034,20,27.4,29,September
9-NEW087.14,10,19.043333333333333,15,24,33,October
9-NEW089.34,5,20.804375,14.3,25.9,32,May
9-NEW089.34,6,24.54736842105263,7.8,28.4,38,June
9-NEW089.34,7,26.831666666666667,23.2,28.67,36,July
9-NEW089.34,8,26.268048780487806,19.8,28.8,41,August
9-NEW089.34,9,23.68,20.6,26.63,28,September
9-NEW089.34,10,19.000588235294117,15,23.8,34,October
9-NEW092.66,5,20.843548387096774,13.5,25.8,31,May
9-NEW092.66,6,24.402631578947368,7.8,28.2,38,June
9-NEW092.66,7,26.982777777777777,23.89,28.96,36,July
9-NEW092.66,8,26.48512195121951,23.89,29,41,August
9-NEW092.66,9,23.751,20.8,27,30,September
9-NEW092.66,10,19.148235294117647,15,23.6,34,October
9-NEW098.32,5,20.291,14.9,25.4,60,May
9-NEW098.32,6,24.119333333333334,17,29,60,June
9-NEW098.32,7,26.8675,24.3,30.38,64,July
9-NEW098.32,8,26.341311475409835,23.8,28.59,61,August
9-NEW098.32,9,23.64396551724138,18.6,26.86,58,September
9-NEW098.32,10,18.380344827586207,14,23.2,58,October
9-PKC000.00,5,21.102962962962962,14.2,25.6,27,May
9-PKC000.00,6,25.508,18,28.5,30,June
9-PKC000.00,7,27.224642857142857,25.3,29.25,28,July
9-PKC000.00,8,26.693125,24,28.8,32,August
9-PKC000.00,9,23.903913043478262,20.6,26.97,23,September
9-PKC000.00,10,19.497666666666667,16.1,23.89,30,October
9-PKC004.16,5,21.384444444444444,15.4,26.5,27,May
9-PKC004.16,6,25.651666666666667,18.4,28.4,30,June
9-PKC004.16,7,27.385357142857142,25.4,29.1,28,July
9-PKC004.16,8,26.845,24,29.3,32,August
9-PKC004.16,9,23.83304347826087,21.3,26.9,23,September
9-PKC004.16,10,19.050666666666668,15.61,23.6,30,October
