ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39004,Perennial,135653557,Redwater Lake,01760119,2005-05-17T11:03:15Z,NA,02080206015464,Chesterfield,2.62,0.03
390 (Lake/Pond),39004,Perennial,135653047,NA,NA,2005-05-17T10:52:11Z,NA,02080206002482,Chesterfield,2.57,0.03
390 (Lake/Pond),39004,Perennial,62589350,Reed Pond,01502105,2002-11-27T00:00:00Z,NA,02080205001571,Chesterfield,2.56,0.03
390 (Lake/Pond),39004,Perennial,135652637,NA,NA,2005-05-17T10:41:38Z,NA,02080206014761,Henrico,2.49,0.03
390 (Lake/Pond),39004,Perennial,135652668,NA,NA,2005-05-17T10:42:28Z,NA,02080206014789,Henrico,2.49,0.03
390 (Lake/Pond),39004,Perennial,135652676,NA,NA,2005-05-17T10:42:41Z,NA,02080206002085,Henrico,2.48,0.03
390 (Lake/Pond),39004,Perennial,135653380,NA,NA,2005-05-17T10:59:49Z,NA,02080206002499,Henrico,2.47,0.03
390 (Lake/Pond),39004,Perennial,135652753,NA,NA,2005-05-17T10:44:31Z,NA,02080206014857,Henrico,2.45,0.03
390 (Lake/Pond),39004,Perennial,61495153,NA,NA,2012-10-16T00:00:00Z,NA,02080207008286,Chesterfield,2.44,0.02
390 (Lake/Pond),39004,Perennial,61496433,Pells Pond,01489497,2002-11-15T00:00:00Z,NA,02080207008838,Chesterfield,2.39,0.02
390 (Lake/Pond),39004,Perennial,135652910,NA,NA,2005-05-17T10:48:42Z,NA,02080206014996,Chesterfield,2.39,0.02
390 (Lake/Pond),39001,Intermittent,{0CEB38BC-CD1D-40D0-8FED-AE82D4BB45CA},NA,NA,2012-07-25T00:00:00Z,NA,02080206016635,Henrico,2.37,0.02
390 (Lake/Pond),39004,Perennial,135653378,NA,NA,2005-05-17T10:59:46Z,NA,02080206015358,Chesterfield,2.34,0.02
390 (Lake/Pond),39004,Perennial,135652813,NA,NA,2012-07-25T00:00:00Z,NA,02080206014910,Henrico,2.32,0.02
390 (Lake/Pond),39004,Perennial,62588950,NA,NA,2002-11-27T00:00:00Z,NA,02080205005116,Henrico,2.26,0.02
390 (Lake/Pond),39004,Perennial,{23151E3C-E285-49E7-A771-20C67D634CBD},NA,NA,2012-10-16T00:00:00Z,NA,02080207113319,Chesterfield,2.26,0.02
