FDT_STA_ID,MonthNum,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
4ACOA000.60,8,24,August,4ACOA000.60_8,0.005250000000000021,0.06342233333333355,0.8551901414707871,16.986538461538444,TMin
4AGIL002.39,8,27,August,4AGIL002.39_8,-0.01857142857142851,0.06011861538461539,0.14815247058868405,19.218571428571426,TMin
4AROA018.36,8,11,August,4AROA018.36_8,0.014007352941176401,0.10438818783422453,0.24023437499999997,18.329779411764708,TMin
4AROA038.49,8,14,August,4AROA038.49_8,0.08502380952380945,0.04441445999999995,2.441406250000001e-4,24.025952380952383,TMin
4AROA140.66,8,17,August,4AROA140.66_8,0.08499999999999949,0.042954526315788694,4.5776367187500014e-5,16.300000000000008,TMin
4AROA145.34,8,17,August,4AROA145.34_8,0.07104395604395586,0.03527394698544712,2.1362304687500005e-4,18.397637362637376,TMin
4AROA158.22,8,23,August,4AROA158.22_8,0.12666666666666676,0.11209073749999991,0.008262157440185545,12.317543859649128,TMin
4AROA163.76,8,27,August,4AROA163.76_8,0.10416666666666652,0.05784386363636337,1.253187656402587e-4,12.790740740740741,TMin
4AROA167.34,8,24,August,4AROA167.34_8,0.10416666666666663,0.06005278787878785,0.0028277594176846226,13.04975,TMin
4AROA175.63,8,33,August,4AROA175.63_8,0.052931034482758654,0.05524356366047749,0.0025540732312947572,14.455789473684206,TMin
4AROA180.21,8,31,August,4AROA180.21_8,0.027083333333333348,0.046331249999999935,0.1353103909641504,15.253921568627447,TMin
4AROA183.64,8,32,August,4AROA183.64_8,0.04033333333333324,0.03205240000000023,0.010696486477951937,15.742857142857154,TMin
4AROA192.94,8,28,August,4AROA192.94_8,0.012321428571428546,0.07528244117647061,0.758512942915065,24.4515625,TMin
4ASRE046.90,8,17,August,4ASRE046.90_8,0.1463235294117647,0.08982811764705881,3.051757812500001e-5,2.973529411764706,TMin
4ASRE048.98,8,13,August,4ASRE048.98_8,0.07312500000000002,0.12809487499999994,0.01708984375000001,4.59875,TMin
4ASRE052.31,8,14,August,4ASRE052.31_8,-0.06070512820512819,0.04941999999999986,0.8016843787266217,9.16403846153846,TMin
4ASRE056.06,8,16,August,4ASRE056.06_8,0.12153846153846154,0.27675199999999983,0.01859582059976199,10.784615384615385,TMin
4AWTH000.40,8,25,August,4AWTH000.40_8,0.050916666666666666,0.07351225000000003,0.20993918180465695,15.567647058823521,TMin
8-NAR047.69,8,18,August,8-NAR047.69_8,-0.01666666666666651,0.06770539999999982,0.6631594882832027,28.73000000000001,TMin
8-NAR054.17,8,13,August,8-NAR054.17_8,9.999999999997997e-4,0.07920678181818176,0.6354980468750002,28.80999999999999,TMin
9-NEW087.14,8,28,August,9-NEW087.14_8,0.015793650793650846,0.04818450000000006,0.1494141318292887,8.292857142857144,TMin
9-NEW089.34,8,27,August,9-NEW089.34_8,0.021136363636363783,0.06677219083072124,0.34832760691642756,9.844090909090907,TMin
9-NEW092.66,8,27,August,9-NEW092.66_8,0.03322222222222224,0.08863682916666679,0.0796946681137101,8.836222222222226,TMin
9-NEW098.32,8,22,August,9-NEW098.32_8,0.05555555555555551,0.0714530833333334,0.02507291613137195,22.215000000000003,TMin
9-PKC000.00,8,26,August,9-PKC000.00_8,0.012333333333333397,0.12618646875000003,0.28180362857627694,15.563238095238097,TMin
9-PKC004.16,8,17,August,9-PKC004.16_8,-0.027922077922077904,0.01864802727272729,0.17425537109375003,26.71,TMin
