FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,model_slope,model_MAD,model_pval
4ABSA000.62,5,21.374583333333334,16.7,26.76,24,May,0.07228571428571434,0.10243418181818165,0.014566472335919182
4ABSA000.62,6,25.574166666666667,16,29.6,36,June,0.010032679738562034,0.05690567647058816,0.07030731836073062
4ABSA000.62,7,28.0924,25.3,31.14,25,July,0.06222222222222208,0.1262210333333333,0.033524729531599795
4ABSA000.62,8,27.433870967741935,25,29.9,31,August,0.014195402298850543,0.05085558405172414,0.09416095819324254
4ABSA000.62,9,25.0665,21.4,29.49,20,September,0.17214285714285715,0.10094035000000036,1.33514404296875e-5
4ABSA000.62,10,19.781,16,24.5,30,October,0.07325000000000005,0.07615431923076917,1.813765455491598e-4
4ABWR002.50,5,21.237083333333334,14,26.75,24,May,0.11098901098901098,0.16342295454545464,0.004810690879821784
4ABWR002.50,6,25.757631578947368,13.4,29.81,38,June,0.043624708624708616,0.07336689705882385,8.558537911661278e-4
4ABWR002.50,7,28.112962962962964,25.23,31.27,27,July,0.04838383838383861,0.10494262121212108,0.007386797219767495
4ABWR002.50,8,27.29875,25.1,29.86,32,August,0.024999999999999835,0.04188345000000008,0.007705350482836403
4ABWR002.50,9,24.96666666666667,19,29.43,21,September,0.212820512820513,0.10943938041958014,8.392333984374999e-5
4ABWR002.50,10,19.880294117647058,16.9,24.8,34,October,0.05490476190476207,0.049634869565216386,3.163795918226243e-5
4ABWR010.55,5,22.261666666666667,15,27.27,24,May,0.08181818181818169,0.1531795363636362,0.007549847603842783
4ABWR010.55,6,26.7772972972973,22,30.8,37,June,0.025000000000000244,0.058686250000000356,0.005340199393685921
4ABWR010.55,7,29.02925925925926,26.13,32.09,27,July,0.0638095238095238,0.10695900000000007,8.76030751298954e-4
4ABWR010.55,8,27.76794117647059,16,30.52,34,August,0.011714285714285733,0.036407305263157864,0.009325829490798217
4ABWR010.55,9,25.503333333333334,22,30.04,21,September,0.11397129186602864,0.09391721232057405,1.3351440429687498e-5
4ABWR010.55,10,20.131212121212123,17.1,25,33,October,0.048882575757575784,0.05409654211229939,5.09948004037143e-5
4ABWR017.42,5,22.645833333333332,17,26.87,24,May,0.09094444444444447,0.20145068181818196,0.035709992369439836
4ABWR017.42,6,27.111764705882354,21.5,32.1,34,June,0.022695652173913068,0.05000048888888891,0.038572733429630225
4ABWR017.42,7,29.275555555555556,26,31.9,27,July,0.039000000000000146,0.0712000999999995,0.011253439884870167
4ABWR017.42,8,28.261290322580646,25.78,30.54,31,August,0.02166666666666655,0.037034304347826,0.010358627885580056
4ABWR017.42,9,25.693333333333335,22.1,30.82,21,September,0.04958333333333312,0.1275212499999997,0.005541801452636718
4ABWR017.42,10,20.04939393939394,16.1,25.4,33,October,0.04657894736842097,0.061868615471869275,3.7246453575790015e-4
4ACCK001.80,5,21.25875,17,25.71,24,May,0.08500000000000005,0.10897109999999995,0.06127247820613169
4ACCK001.80,6,25.543225806451613,9,29.7,31,June,0.004375000000000018,0.10813432954545471,0.5682233804836868
4ACCK001.80,7,28.592608695652174,26.8,30.35,23,July,0.07694805194805215,0.06712348484848461,1.3113021850585934e-5
4ACCK001.80,8,28.21857142857143,24.54,30.1,28,August,0.03833333333333326,0.04682544999999981,0.013914110567188009
4ACCK001.80,9,24.341923076923077,12.7,29.86,26,September,0.14652777777777776,0.07542727500000006,8.770161592186997e-4
4ACCK001.80,10,20.06576923076923,17.1,29,26,October,0.0568181818181817,0.06184800681818194,7.454454898834238e-4
4ACOA000.60,5,21.339583333333334,16.3,27,24,May,0.07816820276497699,0.09728700094876673,0.004810690879821784
4ACOA000.60,6,25.99735294117647,21.63,29.3,34,June,0.0019791666666667002,0.06421369934640506,0.7195701207622245
4ACOA000.60,7,27.9712,25.3,30.63,25,July,0.006111111111111079,0.10024023333333336,0.2699258622584586
4ACOA000.60,8,27.260689655172413,25,29.21,29,August,0.017094017094016867,0.04333101621417741,0.09633177518844603
4ACOA000.60,9,24.985,21.68,29.09,20,September,0.1675000000000001,0.14629773529411763,2.35449561167878e-4
4ACOA000.60,10,19.918333333333333,16.7,24.5,30,October,0.04258928571428565,0.06047152364864858,9.976259992221976e-4
4AGIL002.39,5,22.364166666666666,17,26.98,24,May,0.02500000000000001,0.1779119999999999,0.21821892261505166
4AGIL002.39,6,26.7775,22.8,30.2,36,June,0.015462962962962977,0.0737336850241546,0.26185864706358764
4AGIL002.39,7,28.935185185185183,26.1,32.01,27,July,0.05272727272727233,0.0952618636363643,0.014743243492163893
4AGIL002.39,8,27.978181818181817,25.59,30.6,33,August,0.020714285714285907,0.04131864999999991,0.0029155178926885197
4AGIL002.39,9,25.493333333333332,21.6,30.08,21,September,0.10824675324675306,0.09788796969696952,3.147125244140624e-5
4AGIL002.39,10,20.08451612903226,16.9,25.3,31,October,0.04994117647058819,0.05993628529411774,1.1839065700769408e-4
4AROA018.36,5,22.258666666666667,20,26.57,15,May,0.03358284883720933,0.0679048726617795,0.20776367187500003
4AROA018.36,6,27.155625,23,31,16,June,-0.037134615384615356,0.07096070436507937,0.14049606328323486
4AROA018.36,7,29.185,26,31.5,22,July,0.019444444444444327,0.026180833333333053,0.0014634095371813423
4AROA018.36,8,28.778,26,31,20,August,0.042707070707070735,0.032924414381720266,0.005410396461745989
4AROA018.36,9,27.241666666666667,23.99,31.04,12,September,-0.02730158730158737,0.12731533333333367,0.9687003809366239
4AROA018.36,10,22.828,18.56,26,10,October,0.08000000000000043,0.09683966666666641,0.41421617824252505
4AROA038.49,5,21.935454545454544,17.78,28.25,22,May,0.04283687943262393,0.020759042780748728,0.002036572406595232
4AROA038.49,6,26.739166666666666,21.11,31.11,24,June,0.006407919547454401,0.047357296290494254,0.4489411381804034
4AROA038.49,7,29.31058823529412,24.44,32.97,34,July,0.03668076923076917,0.04948253994371486,0.001160087202907725
4AROA038.49,8,28.919354838709676,23.89,32.22,31,August,0.04437499999999987,0.022490620121951365,2.507772296667096e-5
4AROA038.49,9,26.543181818181818,23.28,30.43,22,September,0.008164251207729394,0.05135625615942031,0.12701332858361858
4AROA038.49,10,19.949473684210528,12.22,25.81,19,October,-0.011085526315789313,0.07141653485442347,0.9529838562011719
4AROA140.66,5,20.14952380952381,13.9,24.19,21,May,-0.011874999999999976,0.0954488210869566,0.7592878341674804
4AROA140.66,6,25.2885,22,28.5,20,June,0.0489122807017544,0.0464118260869565,0.016023633189003173
4AROA140.66,7,27.675714285714285,25.8,30.4,21,July,0.032192982456140384,0.0358155657894737,0.05950736999511718
4AROA140.66,8,26.246666666666666,17.5,29.64,21,August,0.08909090909090914,0.041828257086999006,2.8610229492187496e-6
4AROA140.66,9,24.721875,21,29.31,17,September,0.14465686274509804,0.05508876470588248,0.0010212550552445615
4AROA140.66,10,20.209444444444443,16.3,25.69,19,October,0.030260416666666862,0.08231960000000009,0.15556599427132733
4AROA145.34,5,19.271428571428572,14.7,24.03,21,May,-0.0047916666666665275,0.11002127499999981,0.7592878341674804
4AROA145.34,6,24.0475,19.3,26.6,20,June,0.030602006688963207,0.04467492979127129,0.04997990729050146
4AROA145.34,7,26.698095238095238,19.9,29.3,21,July,0.017346014492753588,0.09693868707093829,0.2722101211547851
4AROA145.34,8,25.8445,17.9,28.79,20,August,0.0907894736842107,0.029998807017544066,9.542330812821135e-5
4AROA145.34,9,24.77235294117647,21,28.48,18,September,0.12017857142857144,0.07911211363636361,4.5776367187500014e-5
4AROA145.34,10,19.97833333333333,15.1,26,19,October,0.04419642857142847,0.10265239999999995,0.21214294433593753
4AROA158.22,5,19.9452,14,24.64,25,May,0.1113461538461538,0.1586406792642141,0.0034192204475402828
