FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,model_slope,model_MAD,model_pval
4ABWR017.42,5,9.52772727272727,7.21,12.76,24,May,0.014861111111111214,0.16126046955128237,0.8710305240813746
4ABWR017.42,6,10.241923076923069,7.2,15.7,34,June,0.05529411764705879,0.08772050000000073,0.03502086120983875
4ABWR017.42,7,10.266666666666666,8.3,12.99,27,July,0.0029166666666666048,0.08578702272727325,0.9658119257625831
4ABWR017.42,8,9.785599999999995,7.1,12.74,31,August,0.0859890109890035,0.06247081730770258,5.245208740234373e-6
4ABWR017.42,9,9.932380952380951,7.7,12.4,21,September,0.01408333333333333,0.11403664999999912,0.972858428955078
4ABWR017.42,10,8.776399999999999,6.25,11.56,33,October,-0.058333333333334514,0.07010580000000119,2.6643276214599603e-5
4ACCK001.80,5,10.683913043478247,8.8,11.9,24,May,-0.028125000000000074,0.05721247499999987,0.2296623602420801
4ACCK001.80,6,10.263928571428563,7.2,13,31,June,0.04999999999999997,0.10213466666666758,0.08977590170904469
4ACCK001.80,7,9.717826086956517,7.4,11.7,23,July,-0.02474999999999943,0.08434935000000066,0.21117830276489255
4ACCK001.80,8,9.193043478260863,7.4,11.04,28,August,0.06423809523809257,0.03477257647058877,1.0251998901367186e-5
4ACCK001.80,9,8.5856,5.09999999999999,11.09,26,September,0.059821428571428595,0.06780541666666656,8.08119773864746e-4
4ACCK001.80,10,7.001904761904758,5,10.1999999999999,26,October,-0.03653846153846148,0.06031774358974367,0.12807846069335935
4ACOA000.60,5,10.51681818181818,9.19999999999999,13.3,24,May,0.01433035714285713,0.04348959999999995,0.8237285614013671
4ACOA000.60,6,10.118214285714277,7.5,12.9,34,June,0.06666666666663328,0.09343244927536229,0.005659084569329503
4ACOA000.60,7,9.70375,7.05,11.75,25,July,0.011397058823529111,0.047007833333333346,0.4937627366612692
4ACOA000.60,8,9.19961538461538,5.8,11.25,29,August,0.06310457516339867,0.034424421568627475,1.2814998626709001e-6
4ACOA000.60,9,9.010499999999999,8,10.51,20,September,0.009999999999999934,0.04906700000000224,0.1505949980181257
4ACOA000.60,10,7.38125,5.6,9.48,30,October,-0.009920634920634903,0.062201541666666714,0.2357112513891443
4AGIL002.39,5,10.971818181818183,8.83,16.5,24,May,0.03031249999999993,0.06726856249999982,0.1831300025706402
4AGIL002.39,6,10.29499999999999,7.9,16.36,36,June,0.007375565610863586,0.05400899999998145,0.3989470452070237
4AGIL002.39,7,10.57679999999999,7.9,17.2,27,July,-0.13148496240601565,0.05285710526315256,3.814697265624999e-5
4AGIL002.39,8,9.650384615384608,7.5,12.32,33,August,0.014833333333323987,0.08043104999998608,0.9594864825703316
4AGIL002.39,9,8.919047619047618,6.95,10.62,21,September,0.03260416666666656,0.04833893750000122,0.08879852294921874
4AGIL002.39,10,7.157916666666666,5.19,9,31,October,-0.02599999999999997,0.08541797727272696,0.15998530387878446
