FDT_STA_ID,MonthNum,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
4ASRE052.31,8,14,August,4ASRE052.31_8,0.013710407239819,0.04566603159193747,0.375,0.03466063348416289,DOMin
4ASRE056.06,8,16,August,4ASRE056.06_8,0.00869047619047619,0.01980873076923077,0.24389648437500017,-0.16071428571428567,DOMin
4AWTH000.40,8,25,August,4AWTH000.40_8,0.04772727272727275,0.03644293006993004,0.00175604779194053,1.3500000000000014,DOMin
8-NAR047.69,8,18,August,8-NAR047.69_8,-0.13583333333333333,0.1206156875,0.00147502450521842,7.265000000000001,DOMin
8-NAR054.17,8,13,August,8-NAR054.17_8,-0.0305,0.20426184545454473,0.27343750000000017,1.5315,DOMin
9-NEW087.14,8,28,August,9-NEW087.14_8,0,0.00325896594427244,1,0.10000000000000006,DOMin
9-NEW089.34,8,27,August,9-NEW089.34_8,0,0.00645367058823529,0.31321950647003666,0.10000000000000006,DOMin
9-NEW092.66,8,27,August,9-NEW092.66_8,0,0.0061422,0.3941664044478957,0.10489898989898994,DOMin
9-NEW098.32,8,22,August,9-NEW098.32_8,0.14283333333333337,0.092133,0.00160561152447188,-0.23587500000000017,DOMin
9-PKC000.00,8,26,August,9-PKC000.00_8,-0.00596153846153846,0.01001524358974358,0.04067117302798612,0.4424999999999999,DOMin
9-PKC004.16,8,17,August,9-PKC004.16_8,-0.06068181818181821,0.0434671363636361,0.8338354180893287,10.599090909090911,DOMin
2-JKS044.60,8,14,August,2-JKS044.60_8,-0.05333333333333291,0.0453484659090912,0.02441406249999999,7.34424404761903,DOMean
2-JKS046.40,8,15,August,2-JKS046.40_8,-0.04592499999999873,0.03206024960526407,0.00244140625,6.798633333333335,DOMean
2-JKS048.90,8,17,August,2-JKS048.90_8,-0.04447222222222166,0.03655733621794863,0.00341796875,5.483333333333302,DOMean
4ABSA000.62,8,26,August,4ABSA000.62_8,-0.02232307692307691,0.04376267717948722,0.03180783987045287,5.458107692307682,DOMean
4ABWR002.50,8,26,August,4ABWR002.50_8,0.01716136363636411,0.03326078318181958,0.00554180145263671,3.974577272727251,DOMean
4ABWR010.55,8,26,August,4ABWR010.55_8,-0.1087666666666672,0.11354862749999572,4.935264587402343e-5,8.259700000000004,DOMean
4ABWR017.42,8,24,August,4ABWR017.42_8,0.00964999999999898,0.14634085666666427,0.6827135086059569,4.886950000000025,DOMean
4ACCK001.80,8,23,August,4ACCK001.80_8,-0.00449999999999994,0.06671699999999989,0.98432159423828125,5.3255,DOMean
4ACOA000.60,8,24,August,4ACOA000.60_8,0.00417788461538357,0.03648413457939317,0.943053770411126,4.271112500000019,DOMean
4AGIL002.39,8,27,August,4AGIL002.39_8,-0.1675729166666674,0.09236818625000034,1.192092895507812e-6,10.25946875000002,DOMean
4AROA018.36,8,11,August,4AROA018.36_8,0.02014583333333333,0.05650881102941071,0.36523437499999994,2.5241458333333338,DOMean
4AROA038.49,8,14,August,4AROA038.49_8,0.08300000000000071,0.05553396000000053,0.00109393994728799,3.6814374999999906,DOMean
4AROA140.66,8,17,August,4AROA140.66_8,0.00599999999999489,0.0453990090909091,1,4.4480000000002065,DOMean
4AROA145.34,8,17,August,4AROA145.34_8,-0.02758543417366918,0.01890003529411741,0.004638671875,6.1409333333333045,DOMean
4AROA158.22,8,23,August,4AROA158.22_8,0.03262500000000007,0.06255301940559449,0.05053710937500001,3.830249999999992,DOMean
4AROA163.76,8,27,August,4AROA163.76_8,0.05863690476190434,0.05606346000000039,0.14027467950298875,2.6659880952380997,DOMean
4AROA167.34,8,24,August,4AROA167.34_8,0.05925852272727319,0.03964691420454477,0.00123860091379334,2.740889204545433,DOMean
4AROA175.63,8,33,August,4AROA175.63_8,-0.01356923076923007,0.04363716881118676,0.02294020354747772,4.299571428571441,DOMean
4AROA180.21,8,31,August,4AROA180.21_8,-0.07586572890025522,0.05034909600000029,2.39752770884149e-5,6.053777493606115,DOMean
4AROA183.64,8,32,August,4AROA183.64_8,-0.02963888888889007,0.04644244499999941,4.115998744964605e-4,3.994474999999995,DOMean
4AROA192.94,8,28,August,4AROA192.94_8,-0.05525961538461543,0.06673946363636372,0.00219488143920898,9.8155,DOMean
4ASRE046.90,8,17,August,4ASRE046.90_8,-0.07654999999999994,0.08475417681818452,0.30541992187500017,9.693999999999978,DOMean
