variable,month,reservoir,coefficient,coef.error,p.val,RSQR
TRange,June,Claytor,-0.0162,0.0073,0.158,0.5633
TRange,July,Claytor,-0.0041,0.0103,0.7311,-0.3915
TRange,August,Claytor,-0.0018,0.0041,0.7047,-0.3692
TRange,September,Claytor,0.0064,0.006,0.3966,0.0461
TRange,October,Claytor,0.0114,0.0111,0.4106,0.0211
TRange,All Months,Claytor,-0.0038,0.0027,0.3001,0.2349
TRange,May,Kerr-Leesville-Smith Mountain,0.0022,7e-4,0.0158,0.4798
TRange,June,Kerr-Leesville-Smith Mountain,-0.001,6e-4,0.0992,0.2159
TRange,July,Kerr-Leesville-Smith Mountain,0.001,4e-4,0.0306,0.3576
TRange,August,Kerr-Leesville-Smith Mountain,-1e-4,5e-4,0.8109,-0.1037
TRange,September,Kerr-Leesville-Smith Mountain,4e-4,0.0012,0.7289,-0.1072
TRange,October,Kerr-Leesville-Smith Mountain,1e-4,9e-4,0.8804,-0.1389
TRange,All Months,Kerr-Leesville-Smith Mountain,3e-4,5e-4,0.5953,-0.0749
