FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
4AROA158.22,8,2.6258823529411766,0.3,4.86,23,August,4AROA158.22_8,0.06975490196078432,0.06264711764705883,0.0025787353515625004,0.5895588235294109,DOMin
4AROA163.76,8,1.7675,0.1,4.34,27,August,4AROA163.76_8,0.10863247863247863,0.08109948717948717,0.005406357930054667,-2.187948717948718,DOMin
4AROA167.34,8,1.408499999999999,0.06,3.4,24,August,4AROA167.34_8,0.09271978021978022,0.033684346153846106,1.5069199293184292e-4,-2.43625,DOMin
4AROA175.63,8,0.22518518518518518,0,1,33,August,4AROA175.63_8,0,0.011269257575757575,0.38487926616636936,0.1,DOMin
4AROA180.21,8,0.1889285714285714,0,0.47,31,August,4AROA180.21_8,0,0.012916590909090909,0.9404758102696918,0.1,DOMin
4AROA183.64,8,0.2103846153846154,0,0.6,32,August,4AROA183.64_8,0,0.011262057692307691,0.5589635331621737,0.1,DOMin
4AROA192.94,8,6.7290909090909095,5.25,7.8,28,August,4AROA192.94_8,-0.015277777777777824,0.049255266666666776,0.06899754721819523,7.497499999999999,DOMin
4ASRE046.90,8,3.618461538461537,1.04,5.6,17,August,4ASRE046.90_8,-0.064,0.05297647499999999,0.37573242187500017,7.004000000000003,DOMin
4ASRE048.98,8,1.696,0.12,3.05,13,August,4ASRE048.98_8,0.04065934065934067,0.046595999999999936,0.06636912925875019,0.1769230769230767,DOMin
4ASRE052.31,8,0.712,0.1,1.69,14,August,4ASRE052.31_8,0.013710407239819006,0.045666031591937474,0.375,0.034660633484162894,DOMin
4ASRE056.06,8,0.3707692307692308,0.1,1.1,16,August,4ASRE056.06_8,0.00869047619047619,0.019808730769230773,0.24389648437500017,-0.16071428571428567,DOMin
4AWTH000.40,8,2.838181818181818,1.7,4.83,25,August,4AWTH000.40_8,0.04772727272727275,0.03644293006993004,0.0017560477919405383,1.3500000000000014,DOMin
8-NAR047.69,8,2.329444444444444,0.02,6.38,18,August,8-NAR047.69_8,-0.13583333333333333,0.1206156875,0.0014750245052184247,7.265000000000001,DOMin
8-NAR054.17,8,1.7099999999999993,0,5.4,13,August,8-NAR054.17_8,-0.0305,0.20426184545454473,0.27343750000000017,1.5315,DOMin
9-NEW087.14,8,0.184,0,1.1,28,August,9-NEW087.14_8,0,0.003258965944272445,1,0.10000000000000006,DOMin
9-NEW089.34,8,0.18333333333333335,0,0.9,27,August,9-NEW089.34_8,0,0.006453670588235295,0.31321950647003666,0.10000000000000006,DOMin
9-NEW092.66,8,0.2342857142857143,0,1.8,27,August,9-NEW092.66_8,0,0.0061422,0.3941664044478957,0.10489898989898994,DOMin
9-NEW098.32,8,4.3575,0.5,7.48,22,August,9-NEW098.32_8,0.14283333333333337,0.092133,0.0016056115244718816,-0.23587500000000017,DOMin
9-PKC000.00,8,0.2578947368421053,0,1,26,August,9-PKC000.00_8,-0.00596153846153846,0.010015243589743587,0.040671173027986125,0.4424999999999999,DOMin
9-PKC004.16,8,6.247857142857142,0.25,8.9,17,August,9-PKC004.16_8,-0.06068181818181821,0.043467136363636104,0.8338354180893287,10.599090909090911,DOMin
