FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept
2-JKS048.90,6,4.357777777777778,1.26,7.2,12,June,2-JKS048.90_6,-0.18023809523809525,0.04063680263157891,0.0078125,367.8995238095239
2-JKS048.90,7,2.234999999999999,0.34,4.3,14,July,2-JKS048.90_7,-0.06508928571428634,0.08658003846153817,0.030854911489427896,134.02473214285837
2-JKS048.90,8,0.47923076923076924,0,2,17,August,2-JKS048.90_8,-0.019642857142857142,0.023192099999999997,0.006103515625000004,39.74107142857142
2-JKS048.90,9,0.387,0.1,1,10,September,2-JKS048.90_9,0.013333333333333327,0.009171211538461545,0.5405548641319784,-26.573333333333306
4ABSA000.62,5,6.194736842105263,2.65,9.3,21,May,4ABSA000.62_5,0.02386363636363635,0.1234697727272727,0.70855712890625,-42.26590909090916
4ABSA000.62,6,3.788148148148147,1.34,6.6,30,June,4ABSA000.62_6,0,0.10596229411764652,0.44609622232714885,5.1999999999998145
4ABSA000.62,7,2.203636363636363,0,5,22,July,4ABSA000.62_7,-0.09958333333333336,0.08932664999999909,9.2726125479103e-4,202.7133333333333
4ABSA000.62,8,1.0004,0.1,2.5,26,August,4ABSA000.62_8,-0.009999999999999998,0.0518204,0.2139204809298949,20.52
4ABSA000.62,9,0.37222222222222223,0.08,0.92,18,September,4ABSA000.62_9,0,0.009060333333333332,0.6101201547975077,0.30000000000001137
4ABSA000.62,10,2.46695652173913,0.15,7.01,25,October,4ABSA000.62_10,-0.0342857142857193,0.09387989743589,0.2226152420043945,70.21714285715277
4ABWR002.50,5,6.727222222222222,4,10,20,May,4ABWR002.50_5,0.10000000000000053,0.12250957894736919,0.0017105368301100308,-193.60000000000036
4ABWR002.50,6,4.597272727272727,0.8,7.6,29,June,4ABWR002.50_6,0.20972222222222225,0.0942781538461538,6.532669067382811e-5,-415.56111111111113
4ABWR002.50,7,2.976666666666666,0,7.2,22,July,4ABWR002.50_7,0.07728571428571462,0.14727801818181768,0.17898750305175778,-152.35257142857216
4ABWR002.50,8,1.7304761904761905,0,3.71,26,August,4ABWR002.50_8,0.06960317460317461,0.07430522497420018,0.001858711242675781,-137.84158730158725
4ABWR002.50,9,0.5935,0.1,2.1,20,September,4ABWR002.50_9,0.02638888888888889,0.035005833333333326,0.008483827620686083,-52.68055555555556
4ABWR002.50,10,1.461052631578947,0.1,5.9,25,October,4ABWR002.50_10,0.005817307692307692,0.02979930961538461,0.7982521057128906,-11.38115384615385
4ABWR010.55,5,3.91,0.98,8.1,22,May,4ABWR010.55_5,-0.09285714285714285,0.08693144117647063,0.21958398684565092,190.22857142857134
4ABWR010.55,6,2.5695999999999986,0.02,9.69999999999999,32,June,4ABWR010.55_6,-0.21699579831932775,0.046866739819005396,1.788139343261718e-7,438.57657563025214
4ABWR010.55,7,0.5231818181818182,0,4,24,July,4ABWR010.55_7,-0.033541666666666595,0.026975083333333337,0.0020393576075248615,67.88124999999987
4ABWR010.55,8,0.7208695652173913,0.09,2.7,26,August,4ABWR010.55_8,-0.03333333333333334,0.03741799999999998,2.781995283811634e-4,67.44666666666667
4ABWR010.55,9,0.394,0.07,1.9,20,September,4ABWR010.55_9,-0.00333333333333333,0.012354999999999994,0.3410214366810601,6.983333333333324
4ABWR010.55,10,1.7626086956521727,0.17,5.09,29,October,4ABWR010.55_10,-0.010555555555555547,0.043536666666666654,0.21117830276489255,21.53777777777776
