Year,MonthNum,Mean_TMax,Mean_TMaxAnom,Nobs,Month
1984,10,18.866071428571427,-0.2330945156439713,28,October
1985,5,20.6,-0.0928770733107136,7,May
1985,6,23.5875,-1.6103219227989523,32,June
1985,7,26.275,-0.9825091911764705,4,July
1985,8,25.56875,-1.5079764341196689,16,August
1985,9,22.6,-0.6195742670108801,4,September
1985,10,18.5625,-0.4167483618906931,16,October
1986,5,19.325,-0.9988932116270837,4,May
1986,6,23.596666666666668,-1.5445944170824153,30,June
1986,7,28,0.6927307422969186,5,July
1986,8,24.585714285714285,-2.3933970352088445,28,August
1986,9,23.666666666666668,0.5885561497326203,3,September
1986,10,19.96969696969697,0.7869112578995986,33,October
1987,5,22,1.6761067883729162,4,May
1987,6,24.776,-0.41886762348585316,25,June
1987,7,27.664285714285715,0.18192963018540784,14,July
1987,8,27.476190476190478,0.34737756431756106,21,August
1987,9,23.3,0.08042573298912004,4,September
1987,10,17.21153846153846,-1.9465225751141777,26,October
1988,5,16.384848484848487,-4.317021247044999,33,May
1988,6,25.032,-0.1516872259193559,25,June
1988,7,27.046153846153846,-0.4245961448682033,13,July
1988,8,28.604761904761904,1.4081750740054648,21,August
1988,9,21.366666666666667,-2.3843158058979568,3,September
1988,10,17.53076923076923,-1.7517388801766367,26,October
1989,5,12.825,-7.498893211627083,4,May
1989,6,24.75,-0.3964293665104661,18,June
1989,7,28.07769230769231,-0.001765020110608016,13,July
1989,8,26.22054054054054,-1.1401852698713975,37,August
1989,9,23.5,-0.44437834224598927,4,September
1989,10,18.564,-0.569143478118745,25,October
1990,5,19.2,-1.1238932116270828,4,May
1990,6,24.92,-0.26368722591935595,25,June
1990,7,27.85,0.5924908088235297,4,July
1990,8,27.028125,-0.13186111979274884,32,August
1990,9,24.96,1.6341405863912954,5,September
1990,10,20.403846153846153,1.2996564699786606,26,October
1991,5,21.766666666666666,1.582120879120879,3,May
1991,6,25.45,0.9452619047619049,4,June
1991,7,28.333333333333332,0.019622594408132816,6,July
1991,8,26.4,-0.36037795992714017,2,August
1991,9,25.6,1.9560344827586214,1,September
1991,10,19.21,0.16808447652593372,20,October
1992,5,17.35,-3.1664677419354845,2,May
1992,6,21.733333333333334,-4.2199687716243455,6,June
1992,7,26.85,-0.40036764705882355,2,July
1992,8,26.333333333333332,-1.1378198728478885,6,August
1992,9,22.25,-1.2055121703853953,2,September
1992,10,18.877777777777776,0.13894974041003078,9,October
1993,5,20.15,-0.3664677419354838,2,May
1993,6,24.65,0.0021904761904742998,2,June
1993,7,28.183333333333334,-0.12561637618010182,6,July
1993,8,27.5,0.7396220400728595,2,August
1993,9,24.675,-0.08273986857674132,8,September
1993,10,17.935000000000002,-0.9773617687665498,12,October
1994,5,18.25,-2.266467741935484,2,May
1994,6,26.16294117647059,0.9008458193937251,17,June
1994,7,28.685000000000002,0.43591911764706026,4,July
1994,8,26,-1.2763389298065004,3,August
1994,9,21.316666666666666,-2.144818159359234,6,September
1994,10,19.553333333333335,0.49372464551765444,21,October
1995,5,20.462142857142858,-0.4739891092354692,14,May
1995,6,24.794736842105262,-0.6179033449456215,19,June
1995,7,27.809444444444445,0.44323670764602163,18,July
1995,8,27.6875,0.4958903256378626,8,August
1995,9,21.15,-2.3055121703853967,2,September
1995,10,16.35,-1.1737208008898783,2,October
1996,5,21.715333333333334,1.4721382004892754,15,May
1996,6,27.564736842105262,2.086793937476119,19,June
1996,7,26.41764705882353,-0.927602309551271,17,July
1996,8,26.95736842105263,-0.4760007343790143,19,August
1996,9,21.6,-2.501313070486816,4,September
1996,10,17.541363636363638,-1.914490960497614,22,October
1997,5,18.823076923076922,-1.6323826975481326,13,May
1997,6,21.725,-3.4828408603326624,24,June
1997,7,28.25,1.409097222222223,4,July
1997,8,26.436842105263157,-0.9965270501684884,19,August
1997,9,23.56,-0.32488984588588077,10,September
1997,10,20.503846153846155,1.2885958973344924,26,October
1998,5,22.852631578947367,2.2678720598615834,19,May
1998,6,25.3,-0.06485476534383494,18,June
1998,7,26.95,-0.26863620448179226,4,July
1998,8,27.223809523809525,0.21314038837483432,21,August
1998,9,25.642857142857142,1.4990075117580193,7,September
1998,10,20.45,1.2174964861545414,34,October
1999,5,20.885714285714286,0.16107758611947695,35,May
1999,6,25.651515151515152,0.47003033202487243,33,June
1999,7,27.46764705882353,-0.20040403911777838,34,July
1999,8,27.773529411764706,0.6311502092874888,34,August
1999,9,22.892592592592592,-1.5246643088225826,27,September
1999,10,19.19090909090909,-0.22814269609278387,33,October
2000,5,22.477777777777778,1.7098104898720505,36,May
2000,6,27.06,1.8264389668429026,20,June
2000,7,27.35625,-0.634093443627451,16,July
2000,8,26.82941176470588,-0.5387740584017813,17,August
2000,9,22.700000000000003,-0.7555121703853942,2,September
2000,10,18.42375,-0.72091702931799,24,October
2001,5,20.59764705882353,-0.09213826919073492,34,May
2001,6,26.434375,1.2083174789956723,32,June
2001,7,26.944117647058825,-0.7239334508824843,34,July
2001,8,27.593714285714285,0.4453381907440551,35,August
2001,9,23.650294117647057,-0.8972530295551883,34,September
2001,10,19.25314285714286,1.544812869676194e-4,35,October
2002,5,20.189032258064515,-0.5767983474687931,31,May
2002,6,26.17322580645161,0.8623546019740269,31,June
2002,7,27.436451612903227,-0.2884654131030623,31,July
2002,8,27.308125,0.06560358806620104,32,August
2002,9,24.37095238095238,-0.1131397290341875,21,September
2002,10,20.683636363636364,1.5639060969955358,11,October
2003,5,17.44,-3.0121356421356418,3,May
2003,6,22.748214285714287,-2.621985393290341,28,June
2003,7,26.19076923076923,-1.6167153246582913,26,July
2003,8,27.86344827586207,0.2907556534747347,29,August
2003,9,23.327368421052633,-0.9377961850592131,19,September
2003,10,18.772,-0.8947326155926565,5,October
2004,5,23.71516129032258,2.8262435474268166,31,May
2004,6,25.997857142857143,0.6388798762440459,28,June
2004,7,27.272,-0.5278380817553197,30,July
2004,8,25.704074074074075,-1.4853514196120376,27,August
2004,9,21.736428571428572,-2.597192809587417,28,September
2004,10,17.445555555555554,-1.6063056240809965,27,October
2005,5,20.18516129032258,-1.0238378241211732,31,May
2005,6,26.020967741935483,0.370168681711494,31,June
2005,7,28.864285714285714,0.5457529327251321,35,July
2005,8,28.582608695652173,0.20035797712904066,46,August
2005,9,25.048387096774192,0.13561030688291995,31,September
2005,10,20.144666666666666,0.5358982382524157,30,October
2006,5,20.22222222222222,-0.7127148091340183,27,May
2006,6,25.103703703703705,-0.2968928538855667,27,June
2006,7,27.785185185185185,-0.004691636988568025,27,July
2006,8,27.462068965517243,0.019653577519757423,29,August
2006,9,22.96896551724138,-1.7525031199685521,29,September
2006,10,18.106896551724137,-1.3299224896149224,29,October
2007,5,20.734375,-0.06466959409752082,32,May
2007,6,25.448275862068964,0.033918501201147484,29,June
2007,7,27.14516129032258,-0.6616436422637395,31,July
2007,8,28.048275862068966,0.8163747027007002,29,August
2007,9,25.828125,1.299055854045702,32,September
2007,10,20.04285714285714,1.3646061685132886,7,October
2008,5,20.158823529411766,-0.9779489474830304,34,May
2008,6,26.703333333333333,1.1288678947501245,30,June
2008,7,27.945454545454545,-0.14099604778310912,33,July
2008,8,26.393333333333334,-1.1903547002757593,30,August
2008,9,24.106451612903225,-0.6902703012001355,31,September
2008,10,20.803703703703704,1.3841789850551438,27,October
2009,5,21.358823529411765,0.6211988422721314,34,May
2009,6,25.26206896551724,-0.2036524889986456,29,June
2009,7,25.955882352941178,-1.8800717324874612,34,July
2009,8,27.918181818181818,0.6893155503620011,33,August
2009,9,23.796875,-0.8453298550674889,32,September
2009,10,17.589655172413792,-1.5958719851557774,29,October
2010,5,21.387878787878787,0.25146731119539206,33,May
2010,6,27.05483870967742,1.4908872553579613,31,June
2010,7,28.742105263157896,0.649353333158842,38,July
2010,8,28.48709677419355,0.9005781836531429,31,August
2010,9,25.5,0.4232612118517035,32,September
2010,10,19.06,-0.6142118428282018,15,October
2011,5,20.724,-0.0974722934112269,25,May
2011,6,27.6625,2.2493217682113587,32,June
2011,7,28.86774193548387,0.9176361350430776,31,July
2011,8,28.8440625,1.4436354402347709,32,August
2011,9,24.306666666666665,-0.6293907275499592,30,September
